ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,mh_gspphot,non_single_star
235.59909858068372,-50.11992263926782,0.049419735242588025,0.255219,-7.065331709644669,-3.646920499262814,18.830597,19.618065,17.990612,1.6274529,3847.1577,659.2745,616.7364,703.449,-3.1024,0
235.60048424377612,-50.13384048229692,0.34377490623803314,0.11837071,-2.0186399538565802,-2.0234841619725987,17.809467,18.520042,16.977264,1.542778,4348.08,1402.2264,1366.5712,1441.5199,-1.3168,0
235.61109023118976,-50.13050880758539,0.6536753081672891,0.27233824,-7.432268693288979,-5.417034308293546,18.901249,19.505436,17.686716,1.8187199,3983.6724,656.6176,564.1885,751.7454,-2.8953,0
235.59541413154983,-50.12678393807469,0.40128524174763636,0.18720546,-4.108384573422788,-5.157567276579241,18.320587,19.098927,17.412457,1.68647,4139.4727,708.5786,658.9792,801.7649,-1.363,0
235.5974304241298,-50.126597127729944,0.28502019819573904,0.21931948,-1.7459427429313077,-3.402127116908,18.472681,19.541948,17.476515,2.0654335,3895.4153,648.506,595.9295,814.3748,-0.7114,0
235.6067088569025,-50.12382590137865,0.3337125351583585,0.27939323,-2.4474368217933735,-3.2970179779458606,18.622824,19.237045,17.579567,1.6574783,,,,,,0
235.6060044636031,-50.13717344881577,0.06781623673383848,0.35537297,-3.202747953783401,-2.572823587828034,18.587875,19.339882,17.424475,1.9154072,3949.4197,567.6608,480.6954,634.8641,-1.3944,0
235.20015220863485,-50.06245595278808,0.22434947529875837,0.51051164,-5.838837154376323,-4.324248866256559,19.790157,20.325132,18.303825,2.021307,,,,,,0
235.20157052136568,-50.06058641046924,0.26345719597961526,0.3437192,-4.906957092898059,-3.6595558374794734,19.228073,20.116287,18.391823,1.7244644,,,,,,0
235.2082743578452,-50.06174607901766,0.047997142947761216,0.31753644,-5.999941487026255,-5.762651406553305,18.8506,19.495378,17.970718,1.5246601,3900.491,637.9529,578.9934,696.2319,-1.4094,0
235.21060063757156,-50.075714505284296,0.30786135658310854,0.34883437,-4.589506041469468,-4.042105297178798,19.191362,20.046331,18.40311,1.6432209,,,,,,0
235.21038011187508,-50.07373416709018,0.05445755029841725,0.28546527,-4.55874864118973,-2.357655682706484,19.02349,19.63875,18.129934,1.5088158,,,,,,0
235.20534682735325,-50.07485731829337,1.1044329278908795,0.53954935,-5.607352369951492,-1.8646861581437393,19.806208,21.171478,18.904997,2.2664814,,,,,,0
235.20327299319914,-50.073861687631776,1.0991200250392332,0.5586085,-4.894897572198305,1.7980044422405452,19.907724,21.516289,18.778828,2.737461,,,,,,0
235.21185234899932,-50.06873215453299,1.234605938022093,0.3485472,-2.3333474699483094,-5.940513065455001,19.17878,19.852627,18.0134,1.8392277,,,,,,0
235.2008463381913,-50.07234693176079,0.1584380354401857,0.4056723,-7.126250029503817,-4.784481995973817,19.317831,19.144215,17.894854,1.249361,,,,,,0
235.21136444253898,-50.06839079272589,0.5951638457232643,0.59936553,-3.2252413474545483,-0.6523749139098107,19.892914,,,,,,,,,0
117.62482576874521,-55.588454391770874,0.1693551751578673,0.15104751,0.4660658661480084,1.8845877316337956,18.723274,19.134565,18.14262,0.99194527,5068.431,2439.008,2376.905,2473.074,-1.8106,0
117.63548206666023,-55.594747639822415,0.09850803354161052,0.09868583,-2.71393813567699,4.052775066374951,18.171204,18.616798,17.60028,1.0165176,5010.104,2157.6147,2014.9014,2326.6711,-0.9628,0
117.63831526229133,-55.58598052006647,4.387834991503074,0.11959059,-17.013857466573906,18.887307638470162,18.31552,19.845287,17.02792,2.8173676,3167.549,233.4185,223.9763,239.9291,0.084,0
117.64459841790341,-55.58518665354379,0.3296964881769863,0.28262746,-3.0290502569005464,6.278237806191759,19.649431,20.21654,18.940283,1.2762566,,,,,,0
117.6115107728725,-55.59331879666945,0.4790465259196698,0.02929438,2.6926066458463325,0.8808720717581402,15.974282,16.320143,15.456106,0.86403656,5869.056,1498.5734,1440.0653,1569.492,-0.6204,0
117.6095596771715,-55.586877416446754,0.6898479552634121,0.019120539,-9.779301743455537,10.734717448882485,15.0070715,15.355194,14.48808,0.86711407,6294.2983,1319.9045,1209.2191,1362.5754,-0.3373,0
110.58448510202557,-57.80385657055365,0.25195617711154433,0.1235767,3.2430264725741713,3.452030076744884,18.38673,18.750097,17.854256,0.8958416,5354.242,2558.5605,2527.5886,2597.9878,-1.6005,0
110.59736620679196,-57.80140424194316,0.28780361317871445,0.2170488,-3.2546186410393836,5.816330832960364,19.196854,19.634981,18.581215,1.0537663,,,,,,0
110.61073835445397,-57.79662941695157,0.7984368254385191,0.21593662,-7.515877872341562,6.811432948049846,19.119143,20.127281,18.070723,2.0565586,,,,,,0
110.62958570987442,-57.79067146127691,0.2585216647654269,0.09756631,-1.7324983520055992,6.443499078024007,18.06653,18.551203,17.41934,1.1318626,4712.8213,1638.4437,1571.2039,1715.4275,-0.8944,0
110.62370062957142,-57.78272582572436,0.6838905166327685,0.16978,-1.066610924351437,-1.3815557635308386,18.560268,,,,,,,,,0
110.62367270460902,-57.7829862320811,0.7479640899619919,0.06652228,-0.3761732015901237,-1.178552724964945,16.766653,17.289495,15.803054,1.4864416,,,,,,0
110.64669762771169,-57.786897680542246,0.12936656540501162,0.09116813,-2.671205453361469,4.447941015911629,17.972612,18.322636,17.458918,0.86371803,5376.371,2335.4036,2265.7886,2401.6995,-0.9964,0
110.65507434703797,-57.78205166745922,0.6021623810783355,0.27134126,0.02536611429923752,2.8024950685810452,19.44609,20.697397,18.276564,2.4208336,,,,,,0
110.66007456647944,-57.788406609401605,1.1084226399184613,0.36580622,-4.650504885787207,10.420861928398649,19.801958,21.048298,18.610561,2.4377365,,,,,,0
285.2371748344116,-21.642412212134737,0.9511508183821927,0.7485579,-2.9341781136286156,-1.063351237520109,19.816872,20.689367,19.135004,1.5543633,,,,,,0
285.24712825185287,-21.641234934403737,0.6943297890892753,0.037666086,-4.513372106547941,-1.2189421090873445,15.08214,15.454578,14.524929,0.92964935,5827.755,1183.2213,1140.8601,1233.9327,-0.301,0
285.2411970703414,-21.643649550670887,0.6801617021998537,0.9844417,0.9112473052956896,-4.7770206040711045,19.719452,20.048914,19.207138,0.8417759,,,,,,0
290.68392700433344,-36.80028048568014,0.5595948783840227,0.15844017,0.6761987161626228,-3.439056712921893,18.170914,18.940994,17.34559,1.5954037,4007.9116,1033.9844,986.6351,1080.0898,-0.3448,0
290.6928854799519,-36.796799079898264,0.10972476215322009,0.17592397,-0.8776346561499924,-4.10710712088887,18.593859,19.25379,17.818077,1.4357128,4126.535,1334.8933,1244.8242,1377.5292,-2.0518,0
290.68611810485515,-36.7934915619892,0.5949531817569907,0.42619672,2.097566587405962,-3.5286101231002345,19.739382,20.57246,18.813335,1.7591248,,,,,,0
